id,tnea_code,sl_no,department_code,department_name,approved_intake,year_of_starting,nba_accredited,accreditation_valid_upto,approval_marker
2801,4680,5,ME,MECHANICAL ENGINEERING,60,2013,Yes,2026,
2802,4680,6,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,120,2023,No,,
2803,4680,7,SC,Computer Science and Engineering (Cyber Security),60,2023,No,,
2804,4680,8,IT,INFORMATION TECHNOLOGY,60,2023,No,,
2805,4680,9,EV,Electronics Engineering (VLSI Design and Technology),60,2026,,,
2806,4686,1,IT,INFORMATION TECHNOLOGY,30,2024,No,,
2807,4686,2,CE,CIVIL ENGINEERING,30,2018,No,,
2808,4686,3,CS,COMPUTER SCIENCE AND ENGINEERING,60,2018,No,,
2809,4686,4,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,60,2018,No,,
2810,4686,5,ME,MECHANICAL ENGINEERING,60,2018,No,,
2811,4686,6,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,60,2023,No,,
2812,4747,1,CS,COMPUTER SCIENCE AND ENGINEERING,60,2026,,,
2813,4747,2,AM,Computer Science and Engineering (Artificial Intelligence and Machine Learning),60,2026,,,
2814,4747,3,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,60,2026,,,
2815,4747,4,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,2026,,,
2816,4747,5,IT,INFORMATION TECHNOLOGY,60,2026,,,
2817,4864,1,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,60,2024,No,,
2818,4864,2,CS,COMPUTER SCIENCE AND ENGINEERING,120,2010,No,,
2819,4864,3,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,90,2010,No,,
2820,4864,4,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,30,2010,No,,
2821,4864,5,ME,MECHANICAL ENGINEERING,30,2010,Yes,2027,
2822,4911,1,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,60,2026,,,
2823,4911,2,IT,INFORMATION TECHNOLOGY,60,2026,,,
2824,4911,3,CS,COMPUTER SCIENCE AND ENGINEERING,60,2026,,,
2825,4911,4,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,60,2026,,,
2826,4911,5,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,2026,,,
2827,4911,6,ME,MECHANICAL ENGINEERING,60,2026,,,
2828,4917,1,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,180,2021,No,,
2829,4917,2,AG,AGRICULTURAL ENGINEERING,30,2016,No,,
2830,4917,3,AM,Computer Science and Engineering (Artificial Intelligence and Machine Learning),120,2022,No,,
2831,4917,4,BM,BIO MEDICAL ENGINEERING,60,2016,Yes,2028,
2832,4917,5,BT,BIO TECHNOLOGY,30,2020,No,,
2833,4917,6,CB,COMPUTER SCIENCE AND BUSINESS SYSTEM,60,2020,No,,
2834,4917,7,CD,COMPUTER SCIENCE AND DESIGN,60,2021,No,,
2835,4917,8,CE,CIVIL ENGINEERING,60,2007,Yes,2027,
2836,4917,9,CS,COMPUTER SCIENCE AND ENGINEERING,300,1995,Yes,2027,
2837,4917,10,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,300,1997,Yes,2027,
2838,4917,11,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,1998,Yes,2027,
2839,4917,12,IT,INFORMATION TECHNOLOGY,120,1999,Yes,2025,
2840,4917,13,ME,MECHANICAL ENGINEERING,90,1995,Yes,2025,
2841,4917,14,CI,Computer Science and Engineering (Internet of Things),60,2023,No,,
2842,4917,15,SC,Computer Science and Engineering (Cyber Security),60,2023,No,,
2843,4917,16,EV,Electronics Engineering (VLSI Design and Technology),30,2026,,,
2844,4925,1,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,120,2025,No,,
2845,4925,2,AU,AUTOMOBILE ENGINEERING,30,2025,No,,
2846,4925,3,BC,Bio Technology and Bio Chemical Engineering,30,2025,No,,
2847,4925,4,CH,CHEMICAL ENGINEERING,60,2025,No,,
2848,4925,5,CE,CIVIL ENGINEERING,180,2025,No,,
2849,4925,6,CS,COMPUTER SCIENCE AND ENGINEERING,120,2025,No,,
2850,4925,7,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,120,2025,No,,
2851,4925,8,FD,FOOD TECHNOLOGY,30,2025,No,,
2852,4925,9,IT,INFORMATION TECHNOLOGY,60,2025,No,,
2853,4925,10,ME,MECHANICAL ENGINEERING,120,2025,No,,
2854,4925,11,MD,MEDICAL ELECTRONICS ENGINEERING,90,2025,No,,
2855,4925,12,PC,PETRO CHEMICAL TECHNOLOGY,30,2025,No,,
