sl_no,tnea_code,college_name,district,total_appeared,total_passed,pass_percentage,pdf_page,sem1_appeared,sem1_passed,sem3_appeared,sem3_passed,sem5_appeared,sem5_passed,sem7_appeared,sem7_passed,sem9_appeared,sem9_passed
139,1518,THIRUVALLUVAR COLLEGE OF ENGINEERING AND TECHNOLOGY,THIRUVANNAMALAI,810,304,37.53,11,246.0,17.0,247.0,77.0,175.0,108.0,142.0,102.0,,
140,3021,"UNIVERSITY COLLEGE OF ENGINEERING, PATTUKKOTTAI",THANJAVUR,598,221,36.96,11,204.0,63.0,154.0,50.0,149.0,58.0,91.0,50.0,,
141,5902,BHARATH NIKETAN ENGINEERING COLLEGE,THENI,787,290,36.85,11,169.0,14.0,196.0,50.0,247.0,113.0,175.0,113.0,,
142,3812,MOOKAMBIGAI COLLEGE OF ENGINEERING,PUDUKKOTTAI,1113,410,36.84,11,333.0,62.0,222.0,69.0,293.0,134.0,265.0,145.0,,
143,1525,PODHIGAI COLLEGE OF ENGINEERING AND TECHNOLOGY,TIRUPATTUR,498,183,36.75,11,204.0,19.0,81.0,27.0,117.0,70.0,96.0,67.0,,
144,1322,DHANALAKSHMI SRINIVASAN COLLEGE OF ENGINEERING AND TECHNOLOGY,CHENGALPATTU,2825,1032,36.53,11,1042.0,155.0,670.0,204.0,638.0,353.0,475.0,320.0,,
145,3456,K.S.K. COLLEGE OF ENGINEERING AND TECHNOLOGY,THANJAVUR,728,262,35.99,11,136.0,9.0,208.0,47.0,183.0,105.0,201.0,101.0,,
146,1243,ST LOURDES ENGINEERING COLLEGE,KANCHEEPURAM,248,89,35.89,11,66.0,10.0,57.0,12.0,37.0,22.0,88.0,45.0,,
147,2347,A V S COLLEGE OF TECHNOLOGY,SALEM,1733,621,35.83,11,617.0,110.0,467.0,111.0,319.0,151.0,330.0,249.0,,
148,1430,MAHA BARATHI ENGINEERING COLLEGE,KALLAKURICHI,1117,399,35.72,11,371.0,48.0,345.0,107.0,205.0,91.0,196.0,153.0,,
149,3860,ST.ANNE'S COLLEGE OF ENGINEERING AND TECHNOLOGY,CUDDALORE,650,232,35.69,11,209.0,12.0,149.0,50.0,146.0,87.0,146.0,83.0,,
150,4992,BETHLAHEM INSTITUTE OF ENGINEERING,KANYAKUMARI,802,286,35.66,11,331.0,49.0,153.0,61.0,173.0,78.0,145.0,98.0,,
151,1510,PRIYADARSHINI ENGINEERING COLLEGE,TIRUPATTUR,1087,385,35.42,12,348.0,44.0,296.0,94.0,224.0,110.0,219.0,137.0,,
152,2356,ARULMURUGAN COLLEGE OF ENGINEERING,KARUR,223,78,34.98,12,50.0,5.0,53.0,15.0,71.0,31.0,49.0,27.0,,
153,5988,THENI KAMMAVAR SANGAM COLLEGE OF TECHNOLOGY,THENI,919,319,34.71,12,291.0,39.0,226.0,62.0,232.0,113.0,170.0,105.0,,
154,3846,MOTHER TERASA COLLEGE OF ENGINEERING AND TECHNOLOGY,PUDUKKOTTAI,672,232,34.52,12,275.0,20.0,195.0,80.0,88.0,57.0,114.0,75.0,,
155,4977,NARAYANAGURU COLLEGE OF ENGINEERING,KANYAKUMARI,707,242,34.23,12,206.0,35.0,231.0,73.0,171.0,87.0,99.0,47.0,,
156,2768,PARK COLLEGE OF TECHNOLOGY,COIMBATORE,209,71,33.97,12,87.0,11.0,41.0,16.0,56.0,28.0,25.0,16.0,,
157,5990,LATHA MATHAVAN ENGINEERING COLLEGE,MADURAI,480,163,33.96,12,122.0,12.0,98.0,22.0,111.0,36.0,149.0,93.0,,
158,2360,SUGUNA COLLEGE OF ENGINEERING,COIMBATORE,1210,409,33.8,12,339.0,37.0,305.0,81.0,275.0,128.0,291.0,163.0,,
159,4968,SARDAR RAJA COLLEGE OF ENGINEERING,TENKASI,465,157,33.76,12,138.0,9.0,122.0,24.0,105.0,62.0,100.0,62.0,,
160,5912,PANDIAN SARASWATHI YADAV ENGINEERING COLLEGE,SIVAGANGAI,865,288,33.29,12,289.0,39.0,224.0,60.0,184.0,92.0,168.0,97.0,,
161,5502,SRI RAAJA RAAJAN COLLEGE OF ENGINEERING AND TECHNOLOGY,SIVAGANGAI,1070,355,33.18,12,305.0,47.0,288.0,72.0,251.0,116.0,226.0,120.0,,
162,4961,NELLAI COLLEGE OF ENGINEERING,THIRUNELVELI,471,155,32.91,12,119.0,17.0,137.0,29.0,110.0,39.0,105.0,70.0,,
163,2717,SASURIE COLLEGE OF ENGINEERING,TIRUPPUR,934,303,32.44,12,389.0,44.0,339.0,113.0,128.0,79.0,78.0,67.0,,
164,2732,INFO INSTITUTE OF ENGINEERING,COIMBATORE,875,281,32.11,12,282.0,30.0,202.0,39.0,239.0,109.0,152.0,103.0,,
165,1407,G.K.M. COLLEGE OF ENGINEERING AND TECHNOLOGY,CHENGALPATTU,606,193,31.85,12,226.0,33.0,156.0,58.0,139.0,65.0,85.0,37.0,,
166,4970,SREE SOWDAMBIKA COLLEGE OF ENGINEERING,VIRUDHUNAGAR,701,223,31.81,13,231.0,27.0,196.0,44.0,124.0,54.0,150.0,98.0,,
167,1426,SRI RAMANUJAR ENGINEERING COLLEGE,CHENGALPATTU,1314,417,31.74,13,349.0,61.0,438.0,108.0,272.0,140.0,255.0,108.0,,
168,5862,RVS SCHOOL OF ENGINEERING AND TECHNOLOGY,DINDIGUL,621,197,31.72,13,204.0,15.0,172.0,34.0,147.0,89.0,98.0,59.0,,
